Ontario corporation number,"Incorporation date (year, month, day)",Co-operative name,Cooperative type,Suite number,Street number,Street name,P.O. box / RR# / other,City / town,Provincial code,Country code,Postal code
65857,19520318,Warkworth Co-Operative Services,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",9,Mill Street,"<abbr title=""not available"">N/A</abbr>",Warkworth,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0K 3K0 
66057,19520501,Eastbrow Co-Operative Apartments Limited,Housing Co-operatives,410B,5,East 36<sup>th</sup> Street,"<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8V 3Y6 
66294,19520523,Thunder Bay Co-Operative Farm Supplies,Wholesale Supply Co-operatives,"<abbr title=""not available"">N/A</abbr>",560,Boundary Drive,"<abbr title=""not available"">N/A</abbr>",Slate River,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P7J 0A5 
66800,19520805,Grey-Bruce Live Stock Co-Operative,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Lot 1 Concession 21 Township Keppel County Grey,Box 1137,Wiarton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0H 2T0 
70354,19530914,Parry Sound District Livestock Co-Operative Association,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>",8,"Centre <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Huntsville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P0A 1K0 
73171,19540429,Cana Home Builders Co-Operative Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",1731,"Cana <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Kingston,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K7L 4V3 
76244,19550302,Empire Cheese Co-Operative,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Regional Road # 5,"<abbr title=""not available"">N/A</abbr>",Campbellford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K0L 1L0 
81170,19560217,Associated Toronto Taxi-Cab Co-Operative Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",130,Rivalda Road,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M9M 2M8 
83635,19560328,The Co-Operative Loans Board Of Ontario,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario Government Queens Park,Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M7A 2B7 
90085,19571016,Lansing Co-Operative Nursery School,Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",80,Church Ave,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M2N 4G1 
91379,19571219,Ferndale Park Cottagers� Co-Operative Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>",206,"<abbr title=""Saint"">St.</abbr> Helens Avenue","<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M6H 4A1 
92643,19580319,Gay Lea Foods Co-Operative Limited,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>",5200,Orbitor Drive,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L4W 5B4 
92762,19580424,"Hillview Terrace Apartments Co-Operative <abbr title=""Limited"">Ltd.</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",107,"<abbr title=""Saint"">St.</abbr> Joseph�s Drive","<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8N 2G1
97659,19590129,"West End Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",1470,Raven Avenue,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1Z 7Y7 
97848,19590120,The Workers� Co-Operative Of Consumers (Fort William) Limited,Worker Co-operatives,"<abbr title=""not available"">N/A</abbr>",955,"Walsh <abbr title=""Street"">St</abbr> West","<abbr title=""not available"">N/A</abbr>",Thunder Bay,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",P7E 4X5 
99010,19590417,Milk Co-Operative Of Brant District,Milk Transport Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #2",Burford,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0E 1A0 
99300,19590507,Northumberland Fruit Growers Cold Storage Co-Operative Limited,Marketing Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Post Office"">P.O.</abbr> Box 187","<abbr title=""Regional Road"">R.R.</abbr> #3",Trenton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K8V 5R2 
100299,19590611,Metro Consumers Co-Operative,Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",9,Dibble Street,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M4M 2E7 
100893,19590706,Meadowbrook Homebuilders Co-Operative Limited,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",7,"Parkview <abbr title=""Boulevard"">Blvd</abbr>","<abbr title=""not available"">N/A</abbr>",Whitby,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0N 1H0 
108661,19600919,Sarnia District Milk Co-Operative,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Regional Road"">R.R.</abbr> #1",Courtright,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0N 1H0 
111960,19610317,Camp Services Co-Operative Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",821,Eglinton Avenue West,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5N 1E6 
114386,19610714,Sun Valley Heights Homebuilders Co-Operative Limited,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",625,Roselawn Avenue,"<abbr title=""not available"">N/A</abbr>",Oshawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1L 1B3 
130363,19640207,Oxford Milkway Transport Co-Operative,Milk Transport Co-operatives,"<abbr title=""not available"">N/A</abbr>",103,Longworth Lane,"<abbr title=""not available"">N/A</abbr>",Woodstock,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N4V 1G6 
136497,19641021,"Clarkson Co-Operative Nursery School <abbr title=""Incorporated"">Inc.</abbr>",Childcare Co-operatives,"<abbr title=""not available"">N/A</abbr>",1700,Mazo Crescent,"<abbr title=""not available"">N/A</abbr>",Mississauga,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L5J 1Y8 
136816,19641120,Independent Lumber Dealers Co-Operative,Consumer Co-operatives,100,596,Kingston Road West,"<abbr title=""not available"">N/A</abbr>",Ajax,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1T 3A2 
144363,19651108,Waterloo Co-Operative Residence Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",268,Phillip Street,"<abbr title=""not available"">N/A</abbr>",Waterloo,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N2L 6G9 
204062,19670810,"Student Co-Operative Residence Of Hamilton <abbr title=""Incorporated"">Inc.</abbr>",Housing Co-operatives,2,328,"Hess <abbr title=""Street"">St</abbr> South","<abbr title=""not available"">N/A</abbr>",Hamilton,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L8P 3P8 
206940,19671030,Oshawa Co-Operative Supplies Limited,Consumer Co-operatives,"<abbr title=""not available"">N/A</abbr>",172,"King <abbr title=""Street"">St</abbr> East","<abbr title=""not available"">N/A</abbr>",Oshawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",L1H 1B7 
211102,19680612,Laurence Lalonde Co-Operative Farm Incorporated,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Rural Route"">R.R.</abbr> 2",Brockville,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K6V 5T2
212670,19680529,Taxandria Co-Operative Limited,Service Co-operatives,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>","<abbr title=""Post Office"">P.O.</abbr> Box 75 Highway 7, <abbr title=""Regional Road"">R.R.</abbr> #1",Arkona,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N0M 1B0
212883,19680607,Ottawa Secrel Purchasing Co-Operative Limited,Service Co-operatives,102,1247,Place Kilborn,"<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1H 6K9 
214162,19680724,Neill-Wycik Co-Operative College Incorporated,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",96,Gerrard Street East,"<abbr title=""not available"">N/A</abbr>",Toronto,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",M5B 1G7 
214420,19680808,Avonmore Co-Operative Housing Corporation,Housing Co-operatives,5,215,"Mackay <abbr title=""Street"">St</abbr>","<abbr title=""not available"">N/A</abbr>",Ottawa,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",K1M 2B6 
216718,19681031,Solidarity Tower Co-Operative,Housing Co-operatives,"<abbr title=""not available"">N/A</abbr>",8888,Riverside Drive East,"<abbr title=""not available"">N/A</abbr>",Windsor,"<abbr title=""Ontario"">ON</abbr>","<abbr title=""Canada"">CA</abbr>",N8S 1H2 
